x_1,y_1,x_2,y_2,label
377.7231140136719,417.18603515625,562.669677734375,616.9896240234375,ascus
438.6441345214844,838.6240234375,625.391845703125,1001.2958984375,ascus
95.91535949707031,307.1644592285156,241.68807983398438,415.12786865234375,normal
412.1730041503906,188.3130645751953,507.48004150390625,363.2381286621094,normal
109.13236236572266,604.6648559570312,359.1326599121094,769.2101440429688,ascus
561.8964233398438,117.69181060791016,663.5678100585938,270.11090087890625,normal
550.581298828125,439.07318115234375,761.5877075195312,606.9519653320312,ascus
347.7073059082031,533.4791259765625,509.0670471191406,755.29833984375,ascus
826.3634033203125,233.49960327148438,941.778564453125,412.8630065917969,normal
868.3272705078125,728.7092895507812,1012.7547607421875,836.6309814453125,normal
591.9873046875,682.5509033203125,785.2141723632812,820.555908203125,normal
16.437450408935547,548.1435546875,211.18492126464844,646.2639770507812,normal
843.5835571289062,915.1270141601562,1024.0,1011.9859008789062,normal
862.9594116210938,405.8492431640625,961.29052734375,608.3534545898438,normal
881.9454345703125,606.0023803710938,1009.3720092773438,719.5192260742188,normal
614.607421875,851.8578491210938,709.4166259765625,988.1180419921875,normal
743.826171875,120.8422622680664,930.7964477539062,259.8886413574219,normal
713.5106201171875,388.5530090332031,868.3960571289062,516.4931640625,normal
671.416259765625,86.4212875366211,817.9059448242188,235.393310546875,normal
0.0,773.9501342773438,157.53134155273438,936.8021850585938,normal
345.30474853515625,429.2275390625,560.1738891601562,748.26318359375,ascus
39.95756149291992,912.8046875,156.53543090820312,1017.1487426757812,normal
60.79330825805664,66.55374908447266,247.3065185546875,264.2173767089844,normal
348.25921630859375,531.212890625,496.89007568359375,764.0770874023438,normal
780.8507690429688,18.721864700317383,898.039794921875,134.7954559326172,normal
54.62061309814453,139.98924255371094,194.05421447753906,258.2193603515625,normal
1.7241942882537842,471.97747802734375,142.6203155517578,596.577392578125,normal
372.4045104980469,392.85302734375,572.2096557617188,634.1206665039062,normal
63.17378616333008,84.45795440673828,252.5823516845703,255.30699157714844,ascus
429.7373352050781,841.7503051757812,633.9822998046875,1003.8065185546875,normal
544.8230590820312,433.2425231933594,754.3845825195312,610.9702758789062,normal
99.9716567993164,576.455322265625,367.3243713378906,776.5966796875,normal
