x_1,y_1,x_2,y_2,label
674.6005859375,760.955078125,826.296875,890.244873046875,normal
467.1289367675781,540.3701171875,713.4256591796875,659.6755981445312,ascus
163.27792358398438,697.9382934570312,345.21527099609375,851.0449829101562,normal
110.58383178710938,122.91793823242188,225.4764862060547,346.3782043457031,normal
177.5673370361328,362.8988342285156,296.7919921875,543.3917846679688,normal
456.32733154296875,320.4480895996094,630.9010009765625,478.88623046875,normal
791.8301391601562,427.5367736816406,928.7415161132812,583.0531005859375,normal
301.5730895996094,409.59332275390625,409.6832275390625,548.5869140625,normal
271.5267639160156,101.40238189697266,393.22808837890625,273.024169921875,normal
356.59503173828125,832.7837524414062,479.8423767089844,972.6599731445312,normal
789.752197265625,122.93548583984375,984.606201171875,272.88385009765625,normal
74.79928588867188,1.3455810546875,233.98475646972656,103.81251525878906,normal
386.7917785644531,104.24456787109375,522.1612548828125,224.05889892578125,normal
698.3511352539062,182.4606170654297,832.06396484375,424.1435852050781,normal
419.45269775390625,698.6909790039062,523.830810546875,814.5450439453125,normal
718.9810791015625,912.1004638671875,855.5167236328125,1024.0,normal
789.3628540039062,118.70894622802734,990.1406860351562,277.4138488769531,ascus
871.3150634765625,59.649940490722656,1009.0616455078125,165.7257843017578,normal
116.22845458984375,220.12461853027344,225.01458740234375,338.0978698730469,normal
913.6177368164062,392.86663818359375,1003.437255859375,559.059814453125,normal
332.61090087890625,599.8145751953125,430.60064697265625,731.2278442382812,normal
459.3763122558594,531.33349609375,716.5020751953125,662.2664794921875,normal
697.1303100585938,175.39146423339844,839.1431274414062,424.8970947265625,ascus
716.4276123046875,276.0539245605469,829.8310546875,416.73260498046875,normal
