x_1,y_1,x_2,y_2,label
389.6463928222656,383.08709716796875,588.1997680664062,621.8455200195312,ascus
115.52401733398438,105.86539459228516,222.66949462890625,262.8633117675781,normal
775.8965454101562,113.79462432861328,906.5735473632812,281.18902587890625,normal
476.3876953125,81.57755279541016,676.53515625,203.36585998535156,normal
579.2666625976562,462.73046875,727.4482421875,609.0982055664062,normal
419.42608642578125,229.43421936035156,567.4243774414062,371.50933837890625,normal
146.99346923828125,407.8033142089844,284.11572265625,572.30712890625,normal
105.99787902832031,516.7173461914062,297.9103698730469,693.4419555664062,normal
47.05799102783203,206.0159149169922,187.6103057861328,355.78570556640625,normal
562.574462890625,581.3953857421875,685.3450927734375,769.2066040039062,normal
582.3665771484375,747.0182495117188,727.139892578125,892.3455810546875,normal
374.4527893066406,374.03363037109375,595.6552124023438,627.5867309570312,normal
665.0067138671875,719.1543579101562,822.8304443359375,933.1304321289062,normal
339.65655517578125,879.2882690429688,460.6307678222656,1023.7670288085938,normal
102.17435455322266,520.0955200195312,298.9265441894531,692.1295776367188,ascus
414.302490234375,840.9476928710938,539.2210693359375,990.702880859375,normal
249.54998779296875,85.93528747558594,387.0964050292969,202.22317504882812,normal
583.1484375,199.1998748779297,716.3460693359375,339.31060791015625,normal
704.0626220703125,582.2986450195312,857.795166015625,702.513671875,normal
743.2763061523438,471.9624938964844,868.9658203125,631.1490478515625,normal
798.4258422851562,791.2283935546875,944.3319091796875,946.7599487304688,normal
332.83502197265625,320.1383972167969,461.7531433105469,499.4030456542969,normal
42.20713424682617,732.7474975585938,193.46437072753906,910.677490234375,normal
492.1805114746094,160.1916961669922,603.0146484375,298.84130859375,normal
203.02642822265625,252.73056030273438,352.43072509765625,381.13336181640625,normal
