x_1,y_1,x_2,y_2,label
654.5790405273438,73.22341918945312,777.6421508789062,217.66490173339844,normal
469.0525207519531,369.6707458496094,671.8125,545.064697265625,ascus
724.5679321289062,257.1450500488281,813.8793334960938,382.5632629394531,normal
430.962890625,529.7666015625,590.9057006835938,777.855712890625,ascus
397.5174255371094,265.6847229003906,540.0634155273438,434.2734680175781,normal
109.35840606689453,401.3595886230469,295.9939880371094,520.07177734375,normal
742.3521728515625,498.62554931640625,855.9712524414062,644.4340209960938,normal
406.99554443359375,726.5930786132812,528.8394165039062,961.9143676757812,normal
531.0284423828125,252.03854370117188,645.0037231445312,375.9527282714844,normal
566.4448852539062,785.9556884765625,719.771240234375,927.261474609375,normal
543.73046875,681.335205078125,697.141845703125,796.0211791992188,normal
785.8003540039062,36.638675689697266,896.3736572265625,140.7910919189453,normal
115.52181243896484,713.0506591796875,203.13880920410156,870.233642578125,normal
829.0817260742188,213.81016540527344,945.4562377929688,375.1153564453125,normal
427.5114440917969,531.1962890625,569.6575927734375,784.4923095703125,normal
478.06304931640625,364.93865966796875,665.8663940429688,546.6937866210938,normal
817.226806640625,515.1677856445312,936.966796875,651.7295532226562,normal
59.50634002685547,342.0021667480469,180.01953125,427.5387268066406,normal
