x_1,y_1,x_2,y_2,label
437.2639465332031,374.377685546875,665.3330078125,613.25830078125,ascus
583.2837524414062,187.88987731933594,790.0595092773438,456.9046630859375,ascus
148.01356506347656,195.03713989257812,327.4557800292969,358.71630859375,normal
279.617919921875,796.18701171875,460.07861328125,919.5221557617188,normal
367.7206115722656,685.2661743164062,536.5692138671875,862.0161743164062,normal
603.6478881835938,752.067626953125,733.6277465820312,910.4657592773438,normal
274.1318664550781,138.98223876953125,405.1053771972656,310.67401123046875,normal
179.79983520507812,507.0008544921875,346.55487060546875,746.067626953125,ascus
817.0805053710938,400.6060791015625,925.626953125,561.1468505859375,normal
744.2576293945312,136.14480590820312,932.5779418945312,336.67303466796875,ascus
649.0744018554688,442.7539367675781,809.1275024414062,571.6697387695312,normal
184.09999084472656,514.9801635742188,345.56011962890625,745.9606323242188,normal
426.32281494140625,376.787841796875,684.4306030273438,609.3263549804688,normal
744.0010986328125,136.79591369628906,929.6504516601562,332.6047668457031,normal
369.4293518066406,686.1316528320312,535.538330078125,867.0260009765625,ascus
579.285400390625,180.3319091796875,790.29443359375,464.2112731933594,normal
336.26629638671875,524.5680541992188,528.9494018554688,622.3779907226562,normal
373.544921875,273.56842041015625,509.568359375,391.33624267578125,normal
78.64569854736328,250.23239135742188,178.5560760498047,410.2432861328125,normal
917.548583984375,531.9069213867188,1003.3701171875,697.42724609375,normal
330.556396484375,535.5493774414062,520.7998046875,715.265625,normal
706.9256591796875,554.4138793945312,875.5841064453125,676.4205322265625,normal
142.71728515625,200.4904022216797,329.7064514160156,358.4335021972656,ascus
330.2146301269531,538.250244140625,519.7586059570312,721.5789184570312,ascus
673.6284790039062,648.1784057617188,836.8325805664062,790.8914184570312,normal
